FeldShort,Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Gartenbau,Gartenbau,SO,EBA,13,0,13,12,0,12,1,0,1
Gartenbau,Gartenbau,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,BS,abt-total,24,8,16,18,4,14,6,4,2
Gartenbau,Gartenbau,BS,EFZ,16,5,11,11,2,9,5,3,2
Gartenbau,Gartenbau,BS,EBA,8,3,5,7,2,5,1,1,0
Gartenbau,Gartenbau,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,BL,abt-total,59,0,59,49,0,49,10,0,10
Gartenbau,Gartenbau,BL,EFZ,43,0,43,34,0,34,9,0,9
Gartenbau,Gartenbau,BL,EBA,16,0,16,15,0,15,1,0,1
Gartenbau,Gartenbau,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,SH,abt-total,20,0,20,16,0,16,4,0,4
Gartenbau,Gartenbau,SH,EFZ,15,0,15,11,0,11,4,0,4
Gartenbau,Gartenbau,SH,EBA,5,0,5,5,0,5,0,0,0
Gartenbau,Gartenbau,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,AR,abt-total,9,0,9,5,0,5,4,0,4
Gartenbau,Gartenbau,AR,EFZ,5,0,5,1,0,1,4,0,4
Gartenbau,Gartenbau,AR,EBA,4,0,4,4,0,4,0,0,0
Gartenbau,Gartenbau,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,AI,abt-total,1,0,1,1,0,1,0,0,0
Gartenbau,Gartenbau,AI,EFZ,1,0,1,1,0,1,0,0,0
Gartenbau,Gartenbau,AI,EBA,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,SG,abt-total,81,0,81,61,0,61,20,0,20
Gartenbau,Gartenbau,SG,EFZ,59,0,59,43,0,43,16,0,16
Gartenbau,Gartenbau,SG,EBA,22,0,22,18,0,18,4,0,4
Gartenbau,Gartenbau,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,GR,abt-total,20,0,20,16,0,16,4,0,4
Gartenbau,Gartenbau,GR,EFZ,15,0,15,11,0,11,4,0,4
Gartenbau,Gartenbau,GR,EBA,5,0,5,5,0,5,0,0,0
Gartenbau,Gartenbau,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,AG,abt-total,129,0,129,106,0,106,23,0,23
Gartenbau,Gartenbau,AG,EFZ,95,0,95,73,0,73,22,0,22
Gartenbau,Gartenbau,AG,EBA,34,0,34,33,0,33,1,0,1
Gartenbau,Gartenbau,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,TG,abt-total,64,0,64,47,0,47,17,0,17
Gartenbau,Gartenbau,TG,EFZ,48,0,48,34,0,34,14,0,14
Gartenbau,Gartenbau,TG,EBA,16,0,16,13,0,13,3,0,3
Gartenbau,Gartenbau,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,TI,abt-total,73,0,73,68,0,68,5,0,5
Gartenbau,Gartenbau,TI,EFZ,60,0,60,55,0,55,5,0,5
Gartenbau,Gartenbau,TI,EBA,13,0,13,13,0,13,0,0,0
Gartenbau,Gartenbau,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,VD,abt-total,131,0,131,107,0,107,24,0,24
Gartenbau,Gartenbau,VD,EFZ,113,0,113,90,0,90,23,0,23
Gartenbau,Gartenbau,VD,EBA,18,0,18,17,0,17,1,0,1
Gartenbau,Gartenbau,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,VS,abt-total,41,0,41,36,0,36,5,0,5
Gartenbau,Gartenbau,VS,EFZ,32,0,32,27,0,27,5,0,5
Gartenbau,Gartenbau,VS,EBA,9,0,9,9,0,9,0,0,0
Gartenbau,Gartenbau,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,NE,abt-total,28,0,28,23,0,23,5,0,5
Gartenbau,Gartenbau,NE,EFZ,24,0,24,19,0,19,5,0,5
Gartenbau,Gartenbau,NE,EBA,4,0,4,4,0,4,0,0,0
Gartenbau,Gartenbau,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,GE,abt-total,129,76,53,104,62,42,25,14,11
Gartenbau,Gartenbau,GE,EFZ,111,71,40,88,58,30,23,13,10
Gartenbau,Gartenbau,GE,EBA,18,5,13,16,4,12,2,1,1
Gartenbau,Gartenbau,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,JU,abt-total,15,0,15,11,0,11,4,0,4
Gartenbau,Gartenbau,JU,EFZ,15,0,15,11,0,11,4,0,4
Gartenbau,Gartenbau,JU,EBA,0,0,0,0,0,0,0,0,0
Gartenbau,Gartenbau,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,,abt-total,337,0,337,333,0,333,4,0,4
Forstwirtschaft,Forstwirtschaft,,EFZ,332,0,332,328,0,328,4,0,4
Forstwirtschaft,Forstwirtschaft,,EBA,5,0,5,5,0,5,0,0,0
Forstwirtschaft,Forstwirtschaft,,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,ZH,abt-total,20,0,20,19,0,19,1,0,1
Forstwirtschaft,Forstwirtschaft,ZH,EFZ,20,0,20,19,0,19,1,0,1
Forstwirtschaft,Forstwirtschaft,ZH,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,BE,abt-total,34,0,34,34,0,34,0,0,0
Forstwirtschaft,Forstwirtschaft,BE,EFZ,34,0,34,34,0,34,0,0,0
Forstwirtschaft,Forstwirtschaft,BE,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,LU,abt-total,9,0,9,9,0,9,0,0,0
Forstwirtschaft,Forstwirtschaft,LU,EFZ,8,0,8,8,0,8,0,0,0
Forstwirtschaft,Forstwirtschaft,LU,EBA,1,0,1,1,0,1,0,0,0
Forstwirtschaft,Forstwirtschaft,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,UR,abt-total,5,0,5,5,0,5,0,0,0
Forstwirtschaft,Forstwirtschaft,UR,EFZ,5,0,5,5,0,5,0,0,0
Forstwirtschaft,Forstwirtschaft,UR,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,SZ,abt-total,3,0,3,3,0,3,0,0,0
Forstwirtschaft,Forstwirtschaft,SZ,EFZ,3,0,3,3,0,3,0,0,0
Forstwirtschaft,Forstwirtschaft,SZ,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,OW,abt-total,4,0,4,4,0,4,0,0,0
Forstwirtschaft,Forstwirtschaft,OW,EFZ,4,0,4,4,0,4,0,0,0
Forstwirtschaft,Forstwirtschaft,OW,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,NW,abt-total,2,0,2,2,0,2,0,0,0
Forstwirtschaft,Forstwirtschaft,NW,EFZ,2,0,2,2,0,2,0,0,0
Forstwirtschaft,Forstwirtschaft,NW,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,GL,abt-total,5,0,5,5,0,5,0,0,0
Forstwirtschaft,Forstwirtschaft,GL,EFZ,5,0,5,5,0,5,0,0,0
Forstwirtschaft,Forstwirtschaft,GL,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,ZG,abt-total,6,0,6,6,0,6,0,0,0
Forstwirtschaft,Forstwirtschaft,ZG,EFZ,6,0,6,6,0,6,0,0,0
Forstwirtschaft,Forstwirtschaft,ZG,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,FR,abt-total,20,0,20,19,0,19,1,0,1
Forstwirtschaft,Forstwirtschaft,FR,EFZ,18,0,18,17,0,17,1,0,1
Forstwirtschaft,Forstwirtschaft,FR,EBA,2,0,2,2,0,2,0,0,0
Forstwirtschaft,Forstwirtschaft,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,SO,abt-total,8,0,8,8,0,8,0,0,0
Forstwirtschaft,Forstwirtschaft,SO,EFZ,8,0,8,8,0,8,0,0,0
Forstwirtschaft,Forstwirtschaft,SO,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,BS,abt-total,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,BS,EFZ,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,BS,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,BL,abt-total,10,0,10,10,0,10,0,0,0
Forstwirtschaft,Forstwirtschaft,BL,EFZ,10,0,10,10,0,10,0,0,0
Forstwirtschaft,Forstwirtschaft,BL,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,SH,abt-total,6,0,6,5,0,5,1,0,1
Forstwirtschaft,Forstwirtschaft,SH,EFZ,6,0,6,5,0,5,1,0,1
Forstwirtschaft,Forstwirtschaft,SH,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,AR,abt-total,3,0,3,3,0,3,0,0,0
Forstwirtschaft,Forstwirtschaft,AR,EFZ,3,0,3,3,0,3,0,0,0
Forstwirtschaft,Forstwirtschaft,AR,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,AI,abt-total,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,AI,EFZ,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,AI,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,SG,abt-total,17,0,17,17,0,17,0,0,0
Forstwirtschaft,Forstwirtschaft,SG,EFZ,17,0,17,17,0,17,0,0,0
Forstwirtschaft,Forstwirtschaft,SG,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,GR,abt-total,30,0,30,30,0,30,0,0,0
Forstwirtschaft,Forstwirtschaft,GR,EFZ,30,0,30,30,0,30,0,0,0
Forstwirtschaft,Forstwirtschaft,GR,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,AG,abt-total,25,0,25,25,0,25,0,0,0
Forstwirtschaft,Forstwirtschaft,AG,EFZ,25,0,25,25,0,25,0,0,0
Forstwirtschaft,Forstwirtschaft,AG,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,TG,abt-total,10,0,10,10,0,10,0,0,0
Forstwirtschaft,Forstwirtschaft,TG,EFZ,10,0,10,10,0,10,0,0,0
Forstwirtschaft,Forstwirtschaft,TG,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,TI,abt-total,29,0,29,29,0,29,0,0,0
Forstwirtschaft,Forstwirtschaft,TI,EFZ,29,0,29,29,0,29,0,0,0
Forstwirtschaft,Forstwirtschaft,TI,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,VD,abt-total,45,0,45,44,0,44,1,0,1
Forstwirtschaft,Forstwirtschaft,VD,EFZ,45,0,45,44,0,44,1,0,1
Forstwirtschaft,Forstwirtschaft,VD,EBA,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,VS,abt-total,28,0,28,28,0,28,0,0,0
Forstwirtschaft,Forstwirtschaft,VS,EFZ,27,0,27,27,0,27,0,0,0
Forstwirtschaft,Forstwirtschaft,VS,EBA,1,0,1,1,0,1,0,0,0
Forstwirtschaft,Forstwirtschaft,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,NE,abt-total,11,0,11,11,0,11,0,0,0
Forstwirtschaft,Forstwirtschaft,NE,EFZ,10,0,10,10,0,10,0,0,0
Forstwirtschaft,Forstwirtschaft,NE,EBA,1,0,1,1,0,1,0,0,0
Forstwirtschaft,Forstwirtschaft,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Forstwirtschaft,Forstwirtschaft,GE,abt-total,0,0,0,0,0,0,0,0,0
