Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Elektronik und Automation,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,OW,abt-total,10,0,10,10,0,10,0,0,0
Elektronik und Automation,OW,EFZ,10,0,10,10,0,10,0,0,0
Elektronik und Automation,OW,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,NW,abt-total,8,0,8,8,0,8,0,0,0
Elektronik und Automation,NW,EFZ,8,0,8,8,0,8,0,0,0
Elektronik und Automation,NW,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,GL,abt-total,8,0,8,8,0,8,0,0,0
Elektronik und Automation,GL,EFZ,8,0,8,8,0,8,0,0,0
Elektronik und Automation,GL,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,ZG,abt-total,39,0,39,36,0,36,3,0,3
Elektronik und Automation,ZG,EFZ,39,0,39,36,0,36,3,0,3
Elektronik und Automation,ZG,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,FR,abt-total,85,33,52,80,31,49,5,2,3
Elektronik und Automation,FR,EFZ,85,33,52,80,31,49,5,2,3
Elektronik und Automation,FR,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,SO,abt-total,44,0,44,41,0,41,3,0,3
Elektronik und Automation,SO,EFZ,44,0,44,41,0,41,3,0,3
Elektronik und Automation,SO,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,BS,abt-total,33,0,33,33,0,33,0,0,0
Elektronik und Automation,BS,EFZ,33,0,33,33,0,33,0,0,0
Elektronik und Automation,BS,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,BL,abt-total,21,0,21,21,0,21,0,0,0
Elektronik und Automation,BL,EFZ,21,0,21,21,0,21,0,0,0
Elektronik und Automation,BL,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,SH,abt-total,20,0,20,20,0,20,0,0,0
Elektronik und Automation,SH,EFZ,20,0,20,20,0,20,0,0,0
Elektronik und Automation,SH,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,AR,abt-total,4,0,4,4,0,4,0,0,0
Elektronik und Automation,AR,EFZ,4,0,4,4,0,4,0,0,0
Elektronik und Automation,AR,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,AI,abt-total,3,0,3,3,0,3,0,0,0
Elektronik und Automation,AI,EFZ,3,0,3,3,0,3,0,0,0
Elektronik und Automation,AI,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,SG,abt-total,116,0,116,108,0,108,8,0,8
Elektronik und Automation,SG,EFZ,116,0,116,108,0,108,8,0,8
Elektronik und Automation,SG,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,GR,abt-total,54,0,54,54,0,54,0,0,0
Elektronik und Automation,GR,EFZ,54,0,54,54,0,54,0,0,0
Elektronik und Automation,GR,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,AG,abt-total,156,0,156,150,0,150,6,0,6
Elektronik und Automation,AG,EFZ,156,0,156,150,0,150,6,0,6
Elektronik und Automation,AG,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,TG,abt-total,44,0,44,42,0,42,2,0,2
Elektronik und Automation,TG,EFZ,44,0,44,42,0,42,2,0,2
Elektronik und Automation,TG,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,TI,abt-total,104,62,42,98,57,41,6,5,1
Elektronik und Automation,TI,EFZ,104,62,42,98,57,41,6,5,1
Elektronik und Automation,TI,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,VD,abt-total,223,141,82,210,134,76,13,7,6
Elektronik und Automation,VD,EFZ,223,141,82,210,134,76,13,7,6
Elektronik und Automation,VD,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,VS,abt-total,89,40,49,75,35,40,14,5,9
Elektronik und Automation,VS,EFZ,89,40,49,75,35,40,14,5,9
Elektronik und Automation,VS,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,NE,abt-total,86,72,14,79,66,13,7,6,1
Elektronik und Automation,NE,EFZ,86,72,14,79,66,13,7,6,1
Elektronik und Automation,NE,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,GE,abt-total,80,54,26,80,54,26,0,0,0
Elektronik und Automation,GE,EFZ,80,54,26,80,54,26,0,0,0
Elektronik und Automation,GE,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Elektronik und Automation,JU,abt-total,37,24,13,36,23,13,1,1,0
Elektronik und Automation,JU,EFZ,37,24,13,36,23,13,1,1,0
Elektronik und Automation,JU,EBA,0,0,0,0,0,0,0,0,0
Elektronik und Automation,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,,abt-total,658,73,585,390,41,349,268,32,236
Chemie und Verfahrenstechnik,,EFZ,658,73,585,390,41,349,268,32,236
Chemie und Verfahrenstechnik,,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,ZH,abt-total,63,0,63,36,0,36,27,0,27
Chemie und Verfahrenstechnik,ZH,EFZ,63,0,63,36,0,36,27,0,27
Chemie und Verfahrenstechnik,ZH,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,BE,abt-total,25,0,25,9,0,9,16,0,16
Chemie und Verfahrenstechnik,BE,EFZ,25,0,25,9,0,9,16,0,16
Chemie und Verfahrenstechnik,BE,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,LU,abt-total,4,0,4,2,0,2,2,0,2
Chemie und Verfahrenstechnik,LU,EFZ,4,0,4,2,0,2,2,0,2
Chemie und Verfahrenstechnik,LU,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,UR,abt-total,4,0,4,3,0,3,1,0,1
Chemie und Verfahrenstechnik,UR,EFZ,4,0,4,3,0,3,1,0,1
Chemie und Verfahrenstechnik,UR,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,SZ,abt-total,2,0,2,1,0,1,1,0,1
Chemie und Verfahrenstechnik,SZ,EFZ,2,0,2,1,0,1,1,0,1
Chemie und Verfahrenstechnik,SZ,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,OW,abt-total,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,OW,EFZ,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,OW,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,NW,abt-total,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,NW,EFZ,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,NW,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,GL,abt-total,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,GL,EFZ,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,GL,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,ZG,abt-total,6,0,6,3,0,3,3,0,3
Chemie und Verfahrenstechnik,ZG,EFZ,6,0,6,3,0,3,3,0,3
Chemie und Verfahrenstechnik,ZG,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,FR,abt-total,24,0,24,4,0,4,20,0,20
Chemie und Verfahrenstechnik,FR,EFZ,24,0,24,4,0,4,20,0,20
Chemie und Verfahrenstechnik,FR,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,SO,abt-total,3,0,3,1,0,1,2,0,2
Chemie und Verfahrenstechnik,SO,EFZ,3,0,3,1,0,1,2,0,2
Chemie und Verfahrenstechnik,SO,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,BS,abt-total,80,0,80,50,0,50,30,0,30
Chemie und Verfahrenstechnik,BS,EFZ,80,0,80,50,0,50,30,0,30
Chemie und Verfahrenstechnik,BS,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,BL,abt-total,100,0,100,69,0,69,31,0,31
Chemie und Verfahrenstechnik,BL,EFZ,100,0,100,69,0,69,31,0,31
Chemie und Verfahrenstechnik,BL,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,SH,abt-total,8,0,8,5,0,5,3,0,3
Chemie und Verfahrenstechnik,SH,EFZ,8,0,8,5,0,5,3,0,3
Chemie und Verfahrenstechnik,SH,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,AR,abt-total,6,0,6,4,0,4,2,0,2
Chemie und Verfahrenstechnik,AR,EFZ,6,0,6,4,0,4,2,0,2
Chemie und Verfahrenstechnik,AR,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,AI,abt-total,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,AI,EFZ,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,AI,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,SG,abt-total,20,0,20,16,0,16,4,0,4
Chemie und Verfahrenstechnik,SG,EFZ,20,0,20,16,0,16,4,0,4
Chemie und Verfahrenstechnik,SG,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,GR,abt-total,13,0,13,5,0,5,8,0,8
Chemie und Verfahrenstechnik,GR,EFZ,13,0,13,5,0,5,8,0,8
Chemie und Verfahrenstechnik,GR,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,AG,abt-total,62,0,62,40,0,40,22,0,22
Chemie und Verfahrenstechnik,AG,EFZ,62,0,62,40,0,40,22,0,22
Chemie und Verfahrenstechnik,AG,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,TG,abt-total,3,0,3,1,0,1,2,0,2
Chemie und Verfahrenstechnik,TG,EFZ,3,0,3,1,0,1,2,0,2
Chemie und Verfahrenstechnik,TG,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,TI,abt-total,45,11,34,28,8,20,17,3,14
Chemie und Verfahrenstechnik,TI,EFZ,45,11,34,28,8,20,17,3,14
Chemie und Verfahrenstechnik,TI,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,VD,abt-total,62,23,39,40,14,26,22,9,13
Chemie und Verfahrenstechnik,VD,EFZ,62,23,39,40,14,26,22,9,13
Chemie und Verfahrenstechnik,VD,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,VS,abt-total,84,36,48,52,17,35,32,19,13
Chemie und Verfahrenstechnik,VS,EFZ,84,36,48,52,17,35,32,19,13
Chemie und Verfahrenstechnik,VS,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,NE,abt-total,10,0,10,5,0,5,5,0,5
Chemie und Verfahrenstechnik,NE,EFZ,10,0,10,5,0,5,5,0,5
Chemie und Verfahrenstechnik,NE,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,GE,abt-total,27,0,27,14,0,14,13,0,13
Chemie und Verfahrenstechnik,GE,EFZ,27,0,27,14,0,14,13,0,13
Chemie und Verfahrenstechnik,GE,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,JU,abt-total,7,3,4,2,2,0,5,1,4
Chemie und Verfahrenstechnik,JU,EFZ,7,3,4,2,2,0,5,1,4
Chemie und Verfahrenstechnik,JU,EBA,0,0,0,0,0,0,0,0,0
Chemie und Verfahrenstechnik,JU,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",,abt-total,4170,30,4140,3939,29,3910,231,1,230
"Kraftfahrzeuge, Schiffe und Flugzeuge",,EFZ,3668,28,3640,3443,27,3416,225,1,224
"Kraftfahrzeuge, Schiffe und Flugzeuge",,EBA,502,2,500,496,2,494,6,0,6
"Kraftfahrzeuge, Schiffe und Flugzeuge",,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",ZH,abt-total,645,0,645,615,0,615,30,0,30
"Kraftfahrzeuge, Schiffe und Flugzeuge",ZH,EFZ,566,0,566,536,0,536,30,0,30
"Kraftfahrzeuge, Schiffe und Flugzeuge",ZH,EBA,79,0,79,79,0,79,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",ZH,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",BE,abt-total,480,0,480,447,0,447,33,0,33
"Kraftfahrzeuge, Schiffe und Flugzeuge",BE,EFZ,434,0,434,402,0,402,32,0,32
"Kraftfahrzeuge, Schiffe und Flugzeuge",BE,EBA,46,0,46,45,0,45,1,0,1
"Kraftfahrzeuge, Schiffe und Flugzeuge",BE,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",LU,abt-total,250,0,250,232,0,232,18,0,18
"Kraftfahrzeuge, Schiffe und Flugzeuge",LU,EFZ,215,0,215,197,0,197,18,0,18
"Kraftfahrzeuge, Schiffe und Flugzeuge",LU,EBA,35,0,35,35,0,35,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",LU,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",UR,abt-total,23,0,23,21,0,21,2,0,2
"Kraftfahrzeuge, Schiffe und Flugzeuge",UR,EFZ,21,0,21,19,0,19,2,0,2
"Kraftfahrzeuge, Schiffe und Flugzeuge",UR,EBA,2,0,2,2,0,2,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",UR,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",SZ,abt-total,69,0,69,64,0,64,5,0,5
"Kraftfahrzeuge, Schiffe und Flugzeuge",SZ,EFZ,60,0,60,55,0,55,5,0,5
"Kraftfahrzeuge, Schiffe und Flugzeuge",SZ,EBA,9,0,9,9,0,9,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",SZ,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",OW,abt-total,31,0,31,29,0,29,2,0,2
"Kraftfahrzeuge, Schiffe und Flugzeuge",OW,EFZ,24,0,24,22,0,22,2,0,2
"Kraftfahrzeuge, Schiffe und Flugzeuge",OW,EBA,7,0,7,7,0,7,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",OW,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",NW,abt-total,13,0,13,12,0,12,1,0,1
"Kraftfahrzeuge, Schiffe und Flugzeuge",NW,EFZ,11,0,11,10,0,10,1,0,1
"Kraftfahrzeuge, Schiffe und Flugzeuge",NW,EBA,2,0,2,2,0,2,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",NW,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",GL,abt-total,28,0,28,27,0,27,1,0,1
"Kraftfahrzeuge, Schiffe und Flugzeuge",GL,EFZ,22,0,22,21,0,21,1,0,1
"Kraftfahrzeuge, Schiffe und Flugzeuge",GL,EBA,6,0,6,6,0,6,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",GL,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",ZG,abt-total,57,0,57,54,0,54,3,0,3
"Kraftfahrzeuge, Schiffe und Flugzeuge",ZG,EFZ,52,0,52,49,0,49,3,0,3
"Kraftfahrzeuge, Schiffe und Flugzeuge",ZG,EBA,5,0,5,5,0,5,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",ZG,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",FR,abt-total,210,0,210,204,0,204,6,0,6
"Kraftfahrzeuge, Schiffe und Flugzeuge",FR,EFZ,185,0,185,179,0,179,6,0,6
"Kraftfahrzeuge, Schiffe und Flugzeuge",FR,EBA,25,0,25,25,0,25,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",FR,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",SO,abt-total,128,0,128,121,0,121,7,0,7
"Kraftfahrzeuge, Schiffe und Flugzeuge",SO,EFZ,107,0,107,101,0,101,6,0,6
"Kraftfahrzeuge, Schiffe und Flugzeuge",SO,EBA,21,0,21,20,0,20,1,0,1
"Kraftfahrzeuge, Schiffe und Flugzeuge",SO,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",BS,abt-total,46,0,46,41,0,41,5,0,5
"Kraftfahrzeuge, Schiffe und Flugzeuge",BS,EFZ,44,0,44,39,0,39,5,0,5
"Kraftfahrzeuge, Schiffe und Flugzeuge",BS,EBA,2,0,2,2,0,2,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",BS,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",BL,abt-total,133,0,133,117,0,117,16,0,16
"Kraftfahrzeuge, Schiffe und Flugzeuge",BL,EFZ,113,0,113,99,0,99,14,0,14
"Kraftfahrzeuge, Schiffe und Flugzeuge",BL,EBA,20,0,20,18,0,18,2,0,2
"Kraftfahrzeuge, Schiffe und Flugzeuge",Bl,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",SH,abt-total,47,0,47,44,0,44,3,0,3
"Kraftfahrzeuge, Schiffe und Flugzeuge",SH,EFZ,37,0,37,34,0,34,3,0,3
"Kraftfahrzeuge, Schiffe und Flugzeuge",SH,EBA,10,0,10,10,0,10,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",SH,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",AR,abt-total,15,0,15,14,0,14,1,0,1
"Kraftfahrzeuge, Schiffe und Flugzeuge",AR,EFZ,12,0,12,11,0,11,1,0,1
"Kraftfahrzeuge, Schiffe und Flugzeuge",AR,EBA,3,0,3,3,0,3,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",AR,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",AI,abt-total,9,0,9,9,0,9,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",AI,EFZ,9,0,9,9,0,9,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",AI,EBA,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",AI,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",SG,abt-total,316,0,316,301,0,301,15,0,15
"Kraftfahrzeuge, Schiffe und Flugzeuge",SG,EFZ,286,0,286,271,0,271,15,0,15
"Kraftfahrzeuge, Schiffe und Flugzeuge",SG,EBA,30,0,30,30,0,30,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",SG,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",GR,abt-total,115,0,115,111,0,111,4,0,4
"Kraftfahrzeuge, Schiffe und Flugzeuge",GR,EFZ,101,0,101,97,0,97,4,0,4
"Kraftfahrzeuge, Schiffe und Flugzeuge",GR,EBA,14,0,14,14,0,14,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",GR,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",AG,abt-total,334,0,334,312,0,312,22,0,22
"Kraftfahrzeuge, Schiffe und Flugzeuge",AG,EFZ,272,0,272,251,0,251,21,0,21
"Kraftfahrzeuge, Schiffe und Flugzeuge",AG,EBA,62,0,62,61,0,61,1,0,1
"Kraftfahrzeuge, Schiffe und Flugzeuge",AG,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",TG,abt-total,169,0,169,159,0,159,10,0,10
"Kraftfahrzeuge, Schiffe und Flugzeuge",TG,EFZ,153,0,153,143,0,143,10,0,10
"Kraftfahrzeuge, Schiffe und Flugzeuge",TG,EBA,16,0,16,16,0,16,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",TG,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",TI,abt-total,181,2,179,176,2,174,5,0,5
"Kraftfahrzeuge, Schiffe und Flugzeuge",TI,EFZ,152,0,152,147,0,147,5,0,5
"Kraftfahrzeuge, Schiffe und Flugzeuge",TI,EBA,29,2,27,29,2,27,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",TI,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",VD,abt-total,348,11,337,329,10,319,19,1,18
"Kraftfahrzeuge, Schiffe und Flugzeuge",VD,EFZ,320,11,309,302,10,292,18,1,17
"Kraftfahrzeuge, Schiffe und Flugzeuge",VD,EBA,28,0,28,27,0,27,1,0,1
"Kraftfahrzeuge, Schiffe und Flugzeuge",VD,nReglementiert,0,0,0,0,0,0,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",VS,abt-total,231,0,231,217,0,217,14,0,14
"Kraftfahrzeuge, Schiffe und Flugzeuge",VS,EFZ,202,0,202,188,0,188,14,0,14
"Kraftfahrzeuge, Schiffe und Flugzeuge",VS,EBA,29,0,29,29,0,29,0,0,0
"Kraftfahrzeuge, Schiffe und Flugzeuge",VS,nReglementiert,0,0,0,0,0,0,0,0,0
