Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",AR,nReglementiert,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",AI,abt-total,8,0,8,5,0,5,3,0,3
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",AI,EFZ,8,0,8,5,0,5,3,0,3
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",AI,EBA,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",AI,nReglementiert,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",SG,abt-total,200,0,200,165,0,165,35,0,35
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",SG,EFZ,145,0,145,112,0,112,33,0,33
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",SG,EBA,55,0,55,53,0,53,2,0,2
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",SG,nReglementiert,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",GR,abt-total,74,6,68,67,5,62,7,1,6
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",GR,EFZ,53,4,49,48,3,45,5,1,4
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",GR,EBA,21,2,19,19,2,17,2,0,2
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",GR,nReglementiert,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",AG,abt-total,160,0,160,142,0,142,18,0,18
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",AG,EFZ,132,0,132,116,0,116,16,0,16
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",AG,EBA,28,0,28,26,0,26,2,0,2
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",AG,nReglementiert,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",TG,abt-total,106,0,106,98,0,98,8,0,8
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",TG,EFZ,88,0,88,80,0,80,8,0,8
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",TG,EBA,18,0,18,18,0,18,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",TG,nReglementiert,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",TI,abt-total,33,0,33,33,0,33,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",TI,EFZ,30,0,30,30,0,30,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",TI,EBA,3,0,3,3,0,3,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",TI,nReglementiert,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",VD,abt-total,117,18,99,106,14,92,11,4,7
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",VD,EFZ,110,18,92,99,14,85,11,4,7
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",VD,EBA,7,0,7,7,0,7,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",VD,nReglementiert,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",VS,abt-total,89,0,89,86,0,86,3,0,3
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",VS,EFZ,77,0,77,74,0,74,3,0,3
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",VS,EBA,12,0,12,12,0,12,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",VS,nReglementiert,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",NE,abt-total,42,0,42,41,0,41,1,0,1
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",NE,EFZ,38,0,38,37,0,37,1,0,1
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",NE,EBA,4,0,4,4,0,4,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",NE,nReglementiert,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",GE,abt-total,56,36,20,54,35,19,2,1,1
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",GE,EFZ,51,35,16,50,34,16,1,1,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",GE,EBA,5,1,4,4,1,3,1,0,1
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",GE,nReglementiert,0,0,0,0,0,0,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",JU,abt-total,23,0,23,22,0,22,1,0,1
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",JU,EFZ,22,0,22,21,0,21,1,0,1
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",JU,EBA,1,0,1,1,0,1,0,0,0
"Werkstoffe (Holz, Papier, Kunststoff, Glas)",JU,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,,abt-total,1805,120,1685,1268,88,1180,537,32,505
Architektur und St�dteplanung,,EFZ,1805,120,1685,1268,88,1180,537,32,505
Architektur und St�dteplanung,,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,ZH,abt-total,248,1,247,160,0,160,88,1,87
Architektur und St�dteplanung,ZH,EFZ,248,1,247,160,0,160,88,1,87
Architektur und St�dteplanung,ZH,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,BE,abt-total,228,1,227,164,1,163,64,0,64
Architektur und St�dteplanung,BE,EFZ,228,1,227,164,1,163,64,0,64
Architektur und St�dteplanung,BE,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,LU,abt-total,93,0,93,63,0,63,30,0,30
Architektur und St�dteplanung,LU,EFZ,93,0,93,63,0,63,30,0,30
Architektur und St�dteplanung,LU,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,UR,abt-total,11,0,11,6,0,6,5,0,5
Architektur und St�dteplanung,UR,EFZ,11,0,11,6,0,6,5,0,5
Architektur und St�dteplanung,UR,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,SZ,abt-total,37,0,37,24,0,24,13,0,13
Architektur und St�dteplanung,SZ,EFZ,37,0,37,24,0,24,13,0,13
Architektur und St�dteplanung,SZ,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,OW,abt-total,7,0,7,6,0,6,1,0,1
Architektur und St�dteplanung,OW,EFZ,7,0,7,6,0,6,1,0,1
Architektur und St�dteplanung,OW,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,NW,abt-total,14,0,14,11,0,11,3,0,3
Architektur und St�dteplanung,NW,EFZ,14,0,14,11,0,11,3,0,3
Architektur und St�dteplanung,NW,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,GL,abt-total,17,0,17,13,0,13,4,0,4
Architektur und St�dteplanung,GL,EFZ,17,0,17,13,0,13,4,0,4
Architektur und St�dteplanung,GL,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,ZG,abt-total,40,0,40,31,0,31,9,0,9
Architektur und St�dteplanung,ZG,EFZ,40,0,40,31,0,31,9,0,9
Architektur und St�dteplanung,ZG,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,FR,abt-total,64,0,64,44,0,44,20,0,20
Architektur und St�dteplanung,FR,EFZ,64,0,64,44,0,44,20,0,20
Architektur und St�dteplanung,FR,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,SO,abt-total,45,0,45,28,0,28,17,0,17
Architektur und St�dteplanung,SO,EFZ,45,0,45,28,0,28,17,0,17
Architektur und St�dteplanung,SO,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,BS,abt-total,42,0,42,32,0,32,10,0,10
Architektur und St�dteplanung,BS,EFZ,42,0,42,32,0,32,10,0,10
Architektur und St�dteplanung,BS,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,BL,abt-total,39,0,39,23,0,23,16,0,16
Architektur und St�dteplanung,BL,EFZ,39,0,39,23,0,23,16,0,16
Architektur und St�dteplanung,BL,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,SH,abt-total,16,0,16,9,0,9,7,0,7
Architektur und St�dteplanung,SH,EFZ,16,0,16,9,0,9,7,0,7
Architektur und St�dteplanung,SH,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,AR,abt-total,8,0,8,5,0,5,3,0,3
Architektur und St�dteplanung,AR,EFZ,8,0,8,5,0,5,3,0,3
Architektur und St�dteplanung,AR,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,AI,abt-total,3,0,3,2,0,2,1,0,1
Architektur und St�dteplanung,AI,EFZ,3,0,3,2,0,2,1,0,1
Architektur und St�dteplanung,AI,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,SG,abt-total,122,0,122,81,0,81,41,0,41
Architektur und St�dteplanung,SG,EFZ,122,0,122,81,0,81,41,0,41
Architektur und St�dteplanung,SG,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,GR,abt-total,57,0,57,40,0,40,17,0,17
Architektur und St�dteplanung,GR,EFZ,57,0,57,40,0,40,17,0,17
Architektur und St�dteplanung,GR,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,AG,abt-total,121,0,121,82,0,82,39,0,39
Architektur und St�dteplanung,AG,EFZ,121,0,121,82,0,82,39,0,39
Architektur und St�dteplanung,AG,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,TG,abt-total,51,0,51,38,0,38,13,0,13
Architektur und St�dteplanung,TG,EFZ,51,0,51,38,0,38,13,0,13
Architektur und St�dteplanung,TG,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,TI,abt-total,116,38,78,86,26,60,30,12,18
Architektur und St�dteplanung,TI,EFZ,116,38,78,86,26,60,30,12,18
Architektur und St�dteplanung,TI,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,VD,abt-total,152,0,152,110,0,110,42,0,42
Architektur und St�dteplanung,VD,EFZ,152,0,152,110,0,110,42,0,42
Architektur und St�dteplanung,VD,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,VS,abt-total,106,0,106,81,0,81,25,0,25
Architektur und St�dteplanung,VS,EFZ,106,0,106,81,0,81,25,0,25
Architektur und St�dteplanung,VS,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,NE,abt-total,33,0,33,25,0,25,8,0,8
Architektur und St�dteplanung,NE,EFZ,33,0,33,25,0,25,8,0,8
Architektur und St�dteplanung,NE,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,GE,abt-total,116,80,36,90,61,29,26,19,7
Architektur und St�dteplanung,GE,EFZ,116,80,36,90,61,29,26,19,7
Architektur und St�dteplanung,GE,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,JU,abt-total,19,0,19,14,0,14,5,0,5
Architektur und St�dteplanung,JU,EFZ,19,0,19,14,0,14,5,0,5
Architektur und St�dteplanung,JU,EBA,0,0,0,0,0,0,0,0,0
Architektur und St�dteplanung,JU,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",,abt-total,6137,30,6107,5698,29,5669,439,1,438
"Baugewerbe, Hoch- und Tiefbau",,EFZ,5878,29,5849,5440,28,5412,438,1,437
"Baugewerbe, Hoch- und Tiefbau",,EBA,259,1,258,258,1,257,1,0,1
"Baugewerbe, Hoch- und Tiefbau",,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",ZH,abt-total,803,0,803,713,0,713,90,0,90
"Baugewerbe, Hoch- und Tiefbau",ZH,EFZ,771,0,771,681,0,681,90,0,90
"Baugewerbe, Hoch- und Tiefbau",ZH,EBA,32,0,32,32,0,32,0,0,0
"Baugewerbe, Hoch- und Tiefbau",ZH,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",BE,abt-total,903,14,889,828,13,815,75,1,74
"Baugewerbe, Hoch- und Tiefbau",BE,EFZ,861,14,847,787,13,774,74,1,73
"Baugewerbe, Hoch- und Tiefbau",BE,EBA,42,0,42,41,0,41,1,0,1
"Baugewerbe, Hoch- und Tiefbau",BE,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",LU,abt-total,365,0,365,335,0,335,30,0,30
"Baugewerbe, Hoch- und Tiefbau",LU,EFZ,353,0,353,323,0,323,30,0,30
"Baugewerbe, Hoch- und Tiefbau",LU,EBA,12,0,12,12,0,12,0,0,0
"Baugewerbe, Hoch- und Tiefbau",LU,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",UR,abt-total,55,0,55,48,0,48,7,0,7
"Baugewerbe, Hoch- und Tiefbau",UR,EFZ,53,0,53,46,0,46,7,0,7
"Baugewerbe, Hoch- und Tiefbau",UR,EBA,2,0,2,2,0,2,0,0,0
"Baugewerbe, Hoch- und Tiefbau",UR,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",SZ,abt-total,156,0,156,146,0,146,10,0,10
"Baugewerbe, Hoch- und Tiefbau",SZ,EFZ,152,0,152,142,0,142,10,0,10
"Baugewerbe, Hoch- und Tiefbau",SZ,EBA,4,0,4,4,0,4,0,0,0
"Baugewerbe, Hoch- und Tiefbau",SZ,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",OW,abt-total,40,0,40,38,0,38,2,0,2
"Baugewerbe, Hoch- und Tiefbau",OW,EFZ,39,0,39,37,0,37,2,0,2
"Baugewerbe, Hoch- und Tiefbau",OW,EBA,1,0,1,1,0,1,0,0,0
"Baugewerbe, Hoch- und Tiefbau",OW,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",NW,abt-total,39,0,39,35,0,35,4,0,4
"Baugewerbe, Hoch- und Tiefbau",NW,EFZ,39,0,39,35,0,35,4,0,4
"Baugewerbe, Hoch- und Tiefbau",NW,EBA,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",NW,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",GL,abt-total,54,0,54,53,0,53,1,0,1
"Baugewerbe, Hoch- und Tiefbau",GL,EFZ,52,0,52,51,0,51,1,0,1
"Baugewerbe, Hoch- und Tiefbau",GL,EBA,2,0,2,2,0,2,0,0,0
"Baugewerbe, Hoch- und Tiefbau",GL,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",ZG,abt-total,93,0,93,86,0,86,7,0,7
"Baugewerbe, Hoch- und Tiefbau",ZG,EFZ,88,0,88,81,0,81,7,0,7
"Baugewerbe, Hoch- und Tiefbau",ZG,EBA,5,0,5,5,0,5,0,0,0
"Baugewerbe, Hoch- und Tiefbau",ZG,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",FR,abt-total,246,0,246,236,0,236,10,0,10
"Baugewerbe, Hoch- und Tiefbau",FR,EFZ,237,0,237,227,0,227,10,0,10
"Baugewerbe, Hoch- und Tiefbau",FR,EBA,9,0,9,9,0,9,0,0,0
"Baugewerbe, Hoch- und Tiefbau",FR,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",SO,abt-total,176,0,176,163,0,163,13,0,13
"Baugewerbe, Hoch- und Tiefbau",SO,EFZ,164,0,164,151,0,151,13,0,13
"Baugewerbe, Hoch- und Tiefbau",SO,EBA,12,0,12,12,0,12,0,0,0
"Baugewerbe, Hoch- und Tiefbau",SO,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",BS,abt-total,108,0,108,93,0,93,15,0,15
"Baugewerbe, Hoch- und Tiefbau",BS,EFZ,101,0,101,86,0,86,15,0,15
"Baugewerbe, Hoch- und Tiefbau",BS,EBA,7,0,7,7,0,7,0,0,0
"Baugewerbe, Hoch- und Tiefbau",BS,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",BL,abt-total,224,0,224,219,0,219,5,0,5
"Baugewerbe, Hoch- und Tiefbau",BL,EFZ,211,0,211,206,0,206,5,0,5
"Baugewerbe, Hoch- und Tiefbau",BL,EBA,13,0,13,13,0,13,0,0,0
"Baugewerbe, Hoch- und Tiefbau",Bl,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",SH,abt-total,79,0,79,70,0,70,9,0,9
"Baugewerbe, Hoch- und Tiefbau",SH,EFZ,69,0,69,60,0,60,9,0,9
"Baugewerbe, Hoch- und Tiefbau",SH,EBA,10,0,10,10,0,10,0,0,0
"Baugewerbe, Hoch- und Tiefbau",SH,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",AR,abt-total,43,0,43,40,0,40,3,0,3
"Baugewerbe, Hoch- und Tiefbau",AR,EFZ,42,0,42,39,0,39,3,0,3
"Baugewerbe, Hoch- und Tiefbau",AR,EBA,1,0,1,1,0,1,0,0,0
"Baugewerbe, Hoch- und Tiefbau",AR,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",AI,abt-total,22,0,22,22,0,22,0,0,0
"Baugewerbe, Hoch- und Tiefbau",AI,EFZ,22,0,22,22,0,22,0,0,0
"Baugewerbe, Hoch- und Tiefbau",AI,EBA,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",AI,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",SG,abt-total,544,0,544,496,0,496,48,0,48
"Baugewerbe, Hoch- und Tiefbau",SG,EFZ,520,0,520,472,0,472,48,0,48
"Baugewerbe, Hoch- und Tiefbau",SG,EBA,24,0,24,24,0,24,0,0,0
"Baugewerbe, Hoch- und Tiefbau",SG,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",GR,abt-total,196,0,196,175,0,175,21,0,21
"Baugewerbe, Hoch- und Tiefbau",GR,EFZ,188,0,188,167,0,167,21,0,21
"Baugewerbe, Hoch- und Tiefbau",GR,EBA,8,0,8,8,0,8,0,0,0
"Baugewerbe, Hoch- und Tiefbau",GR,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",AG,abt-total,451,0,451,414,0,414,37,0,37
"Baugewerbe, Hoch- und Tiefbau",AG,EFZ,433,0,433,396,0,396,37,0,37
"Baugewerbe, Hoch- und Tiefbau",AG,EBA,18,0,18,18,0,18,0,0,0
"Baugewerbe, Hoch- und Tiefbau",AG,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",TG,abt-total,234,0,234,217,0,217,17,0,17
"Baugewerbe, Hoch- und Tiefbau",TG,EFZ,224,0,224,207,0,207,17,0,17
"Baugewerbe, Hoch- und Tiefbau",TG,EBA,10,0,10,10,0,10,0,0,0
"Baugewerbe, Hoch- und Tiefbau",TG,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",TI,abt-total,272,1,271,269,1,268,3,0,3
"Baugewerbe, Hoch- und Tiefbau",TI,EFZ,265,0,265,262,0,262,3,0,3
"Baugewerbe, Hoch- und Tiefbau",TI,EBA,7,1,6,7,1,6,0,0,0
"Baugewerbe, Hoch- und Tiefbau",TI,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",VD,abt-total,387,0,387,375,0,375,12,0,12
"Baugewerbe, Hoch- und Tiefbau",VD,EFZ,372,0,372,360,0,360,12,0,12
"Baugewerbe, Hoch- und Tiefbau",VD,EBA,15,0,15,15,0,15,0,0,0
"Baugewerbe, Hoch- und Tiefbau",VD,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",VS,abt-total,291,0,291,283,0,283,8,0,8
"Baugewerbe, Hoch- und Tiefbau",VS,EFZ,274,0,274,266,0,266,8,0,8
"Baugewerbe, Hoch- und Tiefbau",VS,EBA,17,0,17,17,0,17,0,0,0
"Baugewerbe, Hoch- und Tiefbau",VS,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",NE,abt-total,104,0,104,96,0,96,8,0,8
"Baugewerbe, Hoch- und Tiefbau",NE,EFZ,104,0,104,96,0,96,8,0,8
"Baugewerbe, Hoch- und Tiefbau",NE,EBA,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",NE,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",GE,abt-total,197,15,182,195,15,180,2,0,2
"Baugewerbe, Hoch- und Tiefbau",GE,EFZ,189,15,174,187,15,172,2,0,2
"Baugewerbe, Hoch- und Tiefbau",GE,EBA,8,0,8,8,0,8,0,0,0
"Baugewerbe, Hoch- und Tiefbau",GE,nReglementiert,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",JU,abt-total,55,0,55,53,0,53,2,0,2
"Baugewerbe, Hoch- und Tiefbau",JU,EFZ,55,0,55,53,0,53,2,0,2
"Baugewerbe, Hoch- und Tiefbau",JU,EBA,0,0,0,0,0,0,0,0,0
"Baugewerbe, Hoch- und Tiefbau",JU,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzenbau und Tierzucht,,abt-total,1810,0,1810,1378,0,1378,432,0,432
Pflanzenbau und Tierzucht,,EFZ,1624,0,1624,1249,0,1249,375,0,375
Pflanzenbau und Tierzucht,,EBA,186,0,186,129,0,129,57,0,57
Pflanzenbau und Tierzucht,,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzenbau und Tierzucht,ZH,abt-total,140,0,140,78,0,78,62,0,62
Pflanzenbau und Tierzucht,ZH,EFZ,123,0,123,69,0,69,54,0,54
Pflanzenbau und Tierzucht,ZH,EBA,17,0,17,9,0,9,8,0,8
Pflanzenbau und Tierzucht,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzenbau und Tierzucht,BE,abt-total,334,0,334,259,0,259,75,0,75
Pflanzenbau und Tierzucht,BE,EFZ,285,0,285,222,0,222,63,0,63
Pflanzenbau und Tierzucht,BE,EBA,49,0,49,37,0,37,12,0,12
Pflanzenbau und Tierzucht,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzenbau und Tierzucht,LU,abt-total,136,0,136,113,0,113,23,0,23
Pflanzenbau und Tierzucht,LU,EFZ,115,0,115,99,0,99,16,0,16
Pflanzenbau und Tierzucht,LU,EBA,21,0,21,14,0,14,7,0,7
Pflanzenbau und Tierzucht,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Pflanzenbau und Tierzucht,UR,abt-total,19,0,19,13,0,13,6,0,6
Pflanzenbau und Tierzucht,UR,EFZ,18,0,18,13,0,13,5,0,5
